code,countries,category,name,centroid,activationTime,lastUpdate,drmPhase,closed,n_aois,n_products,search_snippet,past_items_search_text
EMSR853,[{'short_name': 'Bolivia'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in  Bolivia,POINT (-63.52064950342081 -17.257081016484737),2025-12-16T02:29:00,2025-12-22T11:18:41.686171,response,True,8,16,"On the 14 December 2025, intense rainfall is reported to have a signicatly affected provinces of Andrés Ibáñez and Sara, Bolivia. The event caused rivers to overflow. Copernicus EMS Rapid Mapping is requested to provide initial rough estimation, flood extent and damage assessment emergency mapping.",
EMSR852,"[{'short_name': 'France'}, {'short_name': 'New Caledonia'}]","{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in New Caledonia,POINT (167.47479667732875 -22.619006142424645),2025-12-07T15:40:00,2025-12-10T08:04:30.106456,response,True,1,3,"On the 30th of November, a wildfire started on the Isle of Pines in New Caledonia. It is still active and continues to spread towards Vao at a speed close to 100 meters per hour. Copernicus EMS Rapid Mapping is requested to provide initial rough estimation and wildfire extent emergency mapping.",
EMSN228,[{'short_name': 'Italy'}],"{'slug': 'flood', 'name': 'Flood'}","Flood and landslides in Friuli Venezia-Giulia, Italy: Ground Deformation, Damage, Risk and Impact Assessment",POINT (13.44682 45.97987),2025-12-04T00:00:00,2026-02-09T14:15:30.453917,recovery,False,1,8,"During the night between 16 and 17 November 2025, an intense convective rainfall event struck the Friuli Venezia Giulia region in northeastern Italy, which triggered rapid rises in water levels along the Judrio River and its tributaries, producing flash floods that affected several municipalities...",
EMSR851,[{'short_name': 'Sri Lanka'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in  Sri Lanka,POINT (80.43738514897932 7.522611903404527),2025-12-01T14:23:00,2025-12-26T13:04:29.935015,response,True,21,28,"Initial definition of Area's of interest. Coordination is on going, new areas might be defined.
Tropical Cyclone Ditwah has caused heavy damage across Sri Lanka, due to floods, landslides and mudslides. The national authorities have issued a request for international support, including satellite...",
EMSN229,[{'short_name': 'Portugal'}],"{'slug': 'volcan', 'name': 'Volcanic Activity'}","Ground deformation monitoring in Terceira Island 2025, Azores",POINT (-27.3096 38.7418),2025-12-01T11:22:56,2026-02-09T11:25:08.384717,preparedness,False,1,3,"In 2025, the Santa Bárbara volcano on Terceira Island, Azores, experienced renewed seismic activity following a period of relative calm that had led to the lowering of the alert level to v2. On November 6, 2025, the Universidade dos Açores reinstated the v3 alert for the volcano, citing a continu...",
EMSN227,"[{'short_name': 'Mozambique'}, {'short_name': 'Zambia'}, {'short_name': 'Zimbabwe'}]","{'slug': 'other', 'name': 'Other'}","Multi hazard mapping in ZIMOZA Transfrontier Conservation Area in Zimbabwe, Mozambique, Zambia",POINT (30.96199 -15.90896),2025-11-21T13:51:49,2026-02-06T12:24:31.454239,preparedness,False,1,2,"The current activation aims to develop a multi-hazard assessment for the ZIMOZA Transfrontier Conservation Area, focusing on flood, fire, drought, and soil-erosion scenarios. Building upon these hazard layers, the activation will also generate an exposure assessment, quantifying the populations,...",
EMSR850,[{'short_name': 'Albania'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in  Albania,POINT (20.1228445207708 40.13805517868506),2025-11-19T16:49:00,2025-11-28T17:28:53.411555,response,True,8,10,"This activation follows the pre-tasking (EMSR9000) and is done on behalf of a request coming from the Albanian Civil Protection Authorities. Other Area of interest are being discussed. For Gjirokaster, delineation is requested, to detect flooded area and possible landslides.
Heavy and moderate r...",
EMSR849,[{'short_name': 'Ireland'}],"{'slug': 'storm', 'name': 'Storm'}",Storm Claudia in Ireland,POINT (-6.62 53.21),2025-11-14T12:15:00,2025-11-18T15:07:21.057117,response,True,4,15,"On the 14th November 2025, Storm Claudia is expected to affect Ireland for an approximate 24h period until midday Saturday 15th November. Severe weather and flood impacts are expected. 
Copernicus EMS Rapid Mapping is requested to provide flood extent and damage assessment emergency mapping.",
EMSR848,[{'short_name': 'Viet Nam'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in central Viet Nam,POINT (108.17753345218755 15.652811597427009),2025-10-30T04:48:00,2025-11-26T13:04:21.759812,response,True,19,41,"On the 30 October 2025 early morning, a flood is reported to have affected Viet Nam. The event, triggered by record heavy rains, is currently on-going. Copernicus EMS Rapid Mapping is requested to provide flood extent emergency mapping.",
EMSN225,[{'short_name': 'Romania'}],"{'slug': 'flood', 'name': 'Flood'}","Course change detection of the Mureș river, Romania",POINT (9.04993 48.82891),2025-10-28T17:52:56,2025-12-19T16:05:37.593283,recovery,True,1,1,"In late May 2025, heavy rains caused flooding along the Mureș River, affecting areas located near the Romanian Hungarian border. The Romanian General Inspectorate for Emergency Situations (IGSU) requested to acquire geospatial information aiding in the evaluation of the river’s course changes due...",
